Log saved to: /home/pi/2021-11-04_14h00m06s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-04 14:00:06
Device manager disconnected
Path to clean from old video files: /home/pi
2021-11-04 14:00:08.571 Open video input: rtsp://admin:@192.168.1.10
2021-11-04 14:00:09.573 Send SIGUSR1 to PID 9638 to terminate video processing
2021-11-04 14:00:14.410 Queue of size: 51 discharged at 6.64 sec
2021-11-04 14:01:25.632 START MOTION ---------
2021-11-04 14:02:01.447 STOP MOTION ----------
2021-11-04 14:02:15.8 START MOTION ---------
2021-11-04 14:02:19.141 STOP MOTION ----------
2021-11-04 14:02:26.552 START MOTION ---------
2021-11-04 14:02:42.498 STOP MOTION ----------
2021-11-04 14:02:56.627 START MOTION ---------
2021-11-04 14:03:11.93 STOP MOTION ----------
2021-11-04 14:03:57.349 START MOTION ---------
2021-11-04 14:04:11.536 STOP MOTION ----------
2021-11-04 14:10:13.391 START MOTION ---------
2021-11-04 14:10:28.121 STOP MOTION ----------
2021-11-04 14:13:00.207 START MOTION ---------
2021-11-04 14:13:06.405 STOP MOTION ----------
2021-11-04 14:13:42.972 START MOTION ---------
2021-11-04 14:13:51.50 STOP MOTION ----------
2021-11-04 14:25:47.327 START MOTION ---------
2021-11-04 14:25:52.43 STOP MOTION ----------
2021-11-04 14:27:11.927 START MOTION ---------
2021-11-04 14:27:18.881 STOP MOTION ----------
2021-11-04 14:28:48.29 START MOTION ---------
2021-11-04 14:28:51.374 STOP MOTION ----------
2021-11-04 14:43:57.208 START MOTION ---------
2021-11-04 14:44:04.837 STOP MOTION ----------
2021-11-04 14:45:06.304 START MOTION ---------
2021-11-04 14:45:11.157 STOP MOTION ----------
2021-11-04 14:45:30.183 START MOTION ---------
2021-11-04 14:45:32.62 STOP MOTION ----------
2021-11-04 14:49:09.30 START MOTION ---------
2021-11-04 14:49:11.203 STOP MOTION ----------
2021-11-04 14:58:58.157 START MOTION ---------
2021-11-04 14:59:06.558 STOP MOTION ----------
2021-11-04 15:05:43.3 START MOTION ---------
2021-11-04 15:05:45.4 STOP MOTION ----------
2021-11-04 15:06:32.812 START MOTION ---------
2021-11-04 15:06:43.928 STOP MOTION ----------
2021-11-04 15:07:11.996 START MOTION ---------
2021-11-04 15:07:21.961 STOP MOTION ----------
2021-11-04 15:20:46.73 START MOTION ---------
2021-11-04 15:20:55.438 STOP MOTION ----------
2021-11-04 15:22:18.785 START MOTION ---------
2021-11-04 15:22:29.936 STOP MOTION ----------
2021-11-04 15:31:12.898 START MOTION ---------
2021-11-04 15:31:14.868 STOP MOTION ----------
2021-11-04 15:31:53.370 START MOTION ---------
2021-11-04 15:31:54.824 STOP MOTION ----------
2021-11-04 15:57:35.578 START MOTION ---------
2021-11-04 15:57:37.458 STOP MOTION ----------
2021-11-04 16:03:13.464 START MOTION ---------
2021-11-04 16:03:15.489 STOP MOTION ----------
2021-11-04 16:03:54.464 START MOTION ---------
2021-11-04 16:04:08.482 STOP MOTION ----------
2021-11-04 16:04:13.575 START MOTION ---------
2021-11-04 16:04:19.607 STOP MOTION ----------
2021-11-04 16:16:32.56 START MOTION ---------
2021-11-04 16:16:47.381 STOP MOTION ----------
2021-11-04 16:34:41.71 START MOTION ---------
2021-11-04 16:35:03.443 STOP MOTION ----------
2021-11-04 16:38:00.911 START MOTION ---------
2021-11-04 16:38:08.355 STOP MOTION ----------
2021-11-04 16:38:20.906 START MOTION ---------
2021-11-04 16:38:23.235 STOP MOTION ----------
2021-11-04 16:41:17.811 START MOTION ---------
2021-11-04 16:41:23.965 STOP MOTION ----------
2021-11-04 16:42:21.70 START MOTION ---------
2021-11-04 16:42:26.1 STOP MOTION ----------
2021-11-04 17:42:29.616 START MOTION ---------
