Log saved to: /home/pi/2021-11-10_03h00m06s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-10 03:00:07
Device manager disconnected
Path to clean from old video files: /home/pi
2021-11-10 03:00:09.841 Open video input: rtsp://admin:@192.168.1.10
2021-11-10 03:00:10.842 Send SIGUSR1 to PID 21793 to terminate video processing
2021-11-10 03:00:12.326 Queue of size: 35 discharged at 3.92303 sec
2021-11-10 03:03:12.81 START MOTION ---------
2021-11-10 03:03:14.720 STOP MOTION ----------
2021-11-10 03:03:41.596 START MOTION ---------
2021-11-10 03:04:39.847 STOP MOTION ----------
2021-11-10 03:08:50.502 START MOTION ---------
2021-11-10 03:08:58.921 STOP MOTION ----------
2021-11-10 04:26:37.897 START MOTION ---------
2021-11-10 04:26:46.762 STOP MOTION ----------
2021-11-10 05:27:09.498 START MOTION ---------
2021-11-10 05:27:14.777 STOP MOTION ----------
2021-11-10 05:27:25.174 START MOTION ---------
2021-11-10 05:28:21.957 STOP MOTION ----------
2021-11-10 06:18:18.150 START MOTION ---------
2021-11-10 06:18:24.479 STOP MOTION ----------
2021-11-10 06:30:49.174 START MOTION ---------
2021-11-10 06:30:57.236 STOP MOTION ----------
2021-11-10 06:34:27.150 START MOTION ---------
2021-11-10 06:34:37.444 STOP MOTION ----------
2021-11-10 06:58:03.956 START MOTION ---------
2021-11-10 06:58:29.94 STOP MOTION ----------
2021-11-10 06:58:38.302 START MOTION ---------
2021-11-10 06:58:56.766 STOP MOTION ----------
2021-11-10 07:01:08.906 START MOTION ---------
2021-11-10 07:01:18.658 STOP MOTION ----------
2021-11-10 07:04:38.790 START MOTION ---------
2021-11-10 07:04:41.578 STOP MOTION ----------
2021-11-10 07:05:36.873 START MOTION ---------
2021-11-10 07:05:43.253 STOP MOTION ----------
2021-11-10 07:15:09.770 START MOTION ---------
2021-11-10 07:15:21.36 STOP MOTION ----------
2021-11-10 07:19:16.691 START MOTION ---------
2021-11-10 07:19:22.809 STOP MOTION ----------
2021-11-10 07:19:36.488 START MOTION ---------
2021-11-10 07:19:56.555 STOP MOTION ----------
2021-11-10 07:20:04.34 START MOTION ---------
2021-11-10 07:20:09.14 STOP MOTION ----------
2021-11-10 07:20:40.460 START MOTION ---------
2021-11-10 07:20:51.46 STOP MOTION ----------
2021-11-10 07:21:41.833 START MOTION ---------
2021-11-10 07:21:45.917 STOP MOTION ----------
2021-11-10 07:31:43.697 START MOTION ---------
2021-11-10 07:31:48.765 STOP MOTION ----------
2021-11-10 07:33:41.42 START MOTION ---------
2021-11-10 07:33:45.647 STOP MOTION ----------
2021-11-10 07:39:22.515 START MOTION ---------
2021-11-10 07:39:25.710 STOP MOTION ----------
2021-11-10 07:42:11.727 START MOTION ---------
2021-11-10 07:42:13.645 STOP MOTION ----------
2021-11-10 07:42:19.972 START MOTION ---------
2021-11-10 07:42:27.673 STOP MOTION ----------
2021-11-10 07:45:35.920 START MOTION ---------
2021-11-10 07:45:39.696 STOP MOTION ----------
2021-11-10 07:47:32.208 START MOTION ---------
2021-11-10 07:47:39.633 STOP MOTION ----------
2021-11-10 07:48:14.634 START MOTION ---------
2021-11-10 07:48:18.888 STOP MOTION ----------
2021-11-10 07:52:38.715 START MOTION ---------
2021-11-10 07:52:42.715 STOP MOTION ----------
2021-11-10 07:56:25.551 START MOTION ---------
2021-11-10 07:56:31.637 STOP MOTION ----------
2021-11-10 07:59:54.561 START MOTION ---------
2021-11-10 08:00:04.201 STOP MOTION ----------
2021-11-10 08:02:39.733 START MOTION ---------
2021-11-10 08:02:53.740 STOP MOTION ----------
2021-11-10 08:04:00.267 START MOTION ---------
2021-11-10 08:04:12.171 STOP MOTION ----------
2021-11-10 08:04:23.725 START MOTION ---------
2021-11-10 08:04:32.604 STOP MOTION ----------
2021-11-10 08:15:31.443 START MOTION ---------
2021-11-10 08:15:38.309 STOP MOTION ----------
2021-11-10 08:16:10.548 START MOTION ---------
2021-11-10 08:16:16.380 STOP MOTION ----------
2021-11-10 08:21:21.262 START MOTION ---------
